Epoch 0 {"5": 0.07794117647058824, "8": 0.11911764705882352, "10": 0.13088235294117648, "12": 0.15294117647058825, "14": 0.17352941176470588, "16": 0.1838235294117647, "18": 0.20735294117647057, "20": 0.2323529411764706, "30": 0.3161764705882353}
Epoch 5 {"5": 0.08823529411764706, "8": 0.1411764705882353, "10": 0.1676470588235294, "12": 0.1823529411764706, "14": 0.1985294117647059, "16": 0.20294117647058824, "18": 0.21911764705882353, "20": 0.23676470588235296, "30": 0.27794117647058825}
Epoch 10 {"5": 0.08823529411764705, "8": 0.14558823529411766, "10": 0.16911764705882354, "12": 0.1852941176470588, "14": 0.1970588235294118, "16": 0.21029411764705883, "18": 0.22647058823529412, "20": 0.23970588235294119, "30": 0.28088235294117647}
Epoch 15 {"5": 0.06911764705882353, "8": 0.11764705882352941, "10": 0.1411764705882353, "12": 0.1588235294117647, "14": 0.17205882352941176, "16": 0.1985294117647059, "18": 0.22058823529411764, "20": 0.23970588235294116, "30": 0.32941176470588235}
Epoch 20 {"5": 0.10588235294117647, "8": 0.1426470588235294, "10": 0.2323529411764706, "12": 0.26029411764705884, "14": 0.2985294117647059, "16": 0.29558823529411765, "18": 0.3529411764705882, "20": 0.38088235294117645, "30": 0.5102941176470588}
Epoch 25 {"5": 0.12058823529411766, "8": 0.13970588235294118, "10": 0.3, "12": 0.3176470588235294, "14": 0.35, "16": 0.36176470588235293, "18": 0.4088235294117647, "20": 0.4411764705882353, "30": 0.5235294117647059}
Epoch 30 {"5": 0.13823529411764707, "8": 0.17352941176470588, "10": 0.2838235294117647, "12": 0.31323529411764706, "14": 0.34558823529411764, "16": 0.3647058823529412, "18": 0.3970588235294118, "20": 0.41764705882352937, "30": 0.5147058823529411}
Epoch 35 {"5": 0.13676470588235295, "8": 0.2, "10": 0.3602941176470588, "12": 0.38382352941176473, "14": 0.41323529411764703, "16": 0.4441176470588235, "18": 0.48382352941176465, "20": 0.5161764705882352, "30": 0.5955882352941176}
Epoch 40 {"5": 0.16617647058823531, "8": 0.21470588235294116, "10": 0.37941176470588234, "12": 0.3970588235294118, "14": 0.4323529411764706, "16": 0.4647058823529412, "18": 0.4985294117647059, "20": 0.5294117647058824, "30": 0.6147058823529412}
Epoch 45 {"5": 0.1411764705882353, "8": 0.3088235294117647, "10": 0.4808823529411764, "12": 0.5029411764705882, "14": 0.5294117647058824, "16": 0.5455882352941176, "18": 0.5632352941176471, "20": 0.5779411764705882, "30": 0.6544117647058824}
Epoch 50 {"5": 0.13529411764705884, "8": 0.20882352941176469, "10": 0.34852941176470587, "12": 0.3720588235294118, "14": 0.40147058823529413, "16": 0.41911764705882354, "18": 0.4470588235294118, "20": 0.47058823529411764, "30": 0.5602941176470588}
Epoch 55 {"5": 0.1588235294117647, "8": 0.3205882352941176, "10": 0.48235294117647065, "12": 0.5044117647058823, "14": 0.5220588235294117, "16": 0.5470588235294118, "18": 0.5705882352941176, "20": 0.588235294117647, "30": 0.6588235294117647}
Epoch 60 {"5": 0.15588235294117647, "8": 0.30000000000000004, "10": 0.47794117647058826, "12": 0.5014705882352941, "14": 0.5264705882352941, "16": 0.5529411764705883, "18": 0.5617647058823529, "20": 0.5852941176470587, "30": 0.6544117647058824}
Epoch 65 {"5": 0.16911764705882354, "8": 0.3044117647058824, "10": 0.47647058823529415, "12": 0.5058823529411764, "14": 0.5220588235294118, "16": 0.5558823529411765, "18": 0.575, "20": 0.5955882352941176, "30": 0.6764705882352942}
Epoch 70 {"5": 0.1779411764705882, "8": 0.3088235294117647, "10": 0.4823529411764706, "12": 0.5058823529411764, "14": 0.5294117647058824, "16": 0.5588235294117647, "18": 0.5764705882352941, "20": 0.6014705882352941, "30": 0.6720588235294118}
Epoch 75 {"5": 0.16764705882352943, "8": 0.2676470588235294, "10": 0.46029411764705885, "12": 0.4823529411764706, "14": 0.5088235294117647, "16": 0.5338235294117647, "18": 0.5602941176470588, "20": 0.5823529411764705, "30": 0.6588235294117647}
